년도,총 인구수,20~29세,30~39세
2008년,49540367,7225638,8470294
2009년,49773145,7028262,8371533
2010년,50515666,6866956,8370549
2011년,50734284,6727416,8254786
2012년,50948272,6626948,8168943
2013년,51141463,6589529,8015414
2014년,51327916,6642044,7811847
2015년,51529338,6699048,7670966
2016년,51696216,6758428,7534140
2017년,51778544,6810967,7368649
2018년,51826059,6823973,7270143
2019년,51849861,6810356,7071024
2020년,51829023,6806153,6873117
2021년,51638809,6655923,6723435
2022년,51439038,6417181,6615511